lng,lat
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-84.388,33.749
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-84.388,33.749
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-84.388,33.749
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-84.388,33.749
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-121.8863,37.3382
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-121.8863,37.3382
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
-118.2437,34.0522
